City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Phuthaditjhaba,ZA,-28.52,28.82,53.64,78,0,2.55,clear sky
1,Atuona,PF,-9.8,-139.03,77.41,76,59,19.55,light rain
2,Ponta Do Sol,PT,32.67,-17.1,69.8,73,40,14.99,scattered clouds
3,Airai,TL,-8.93,125.41,63.99,61,70,1.99,broken clouds
4,Ushuaia,AR,-54.8,-68.3,59.0,51,20,6.93,few clouds
5,Namibe,AO,-15.2,12.15,68.81,76,29,2.86,scattered clouds
6,Cape Town,ZA,-33.93,18.42,66.99,82,0,8.05,clear sky
7,Karoi,ZW,-16.81,29.69,70.43,58,16,10.11,few clouds
8,Hobart,AU,-42.88,147.33,69.01,55,75,9.17,broken clouds
9,College,US,64.86,-147.8,-5.8,69,75,4.7,light snow
10,Lompoc,US,34.64,-120.46,68.0,68,1,9.17,clear sky
11,Hilo,US,19.73,-155.09,87.8,55,75,3.36,broken clouds
12,Punta Arenas,CL,-53.15,-70.92,53.6,58,75,8.05,broken clouds
13,Pisco,PE,-13.7,-76.22,66.2,77,90,13.87,overcast clouds
14,Vung Tau,VN,10.35,107.08,78.8,80,76,6.15,broken clouds
15,Belaya Gora,RU,68.53,146.42,-11.96,81,0,8.9,clear sky
16,Mataura,NZ,-46.19,168.86,57.99,74,48,1.99,scattered clouds
17,Yellowknife,CA,62.46,-114.35,10.99,92,90,10.29,light snow
18,Mar Del Plata,AR,-38.0,-57.56,62.6,67,0,12.75,clear sky
19,Mount Gambier,AU,-37.83,140.77,68.0,52,97,9.17,overcast clouds
20,Boguchany,RU,58.38,97.45,22.69,96,27,5.77,scattered clouds
21,Port Elizabeth,ZA,-33.92,25.57,64.4,88,0,16.11,clear sky
22,Puerto Ayora,EC,-0.74,-90.35,78.8,65,40,17.22,scattered clouds
23,Hithadhoo,MV,-0.6,73.08,82.87,74,100,9.98,very heavy rain
24,Kahului,US,20.89,-156.47,89.6,52,40,16.11,scattered clouds
25,Rikitea,PF,-23.12,-134.97,72.3,81,30,18.25,scattered clouds
26,New Norfolk,AU,-42.78,147.06,69.01,35,100,1.01,heavy intensity rain
27,Vao,NC,-22.67,167.48,75.09,91,100,5.53,light rain
28,Albany,US,42.6,-73.97,37.0,59,1,1.99,clear sky
29,Najran,SA,17.49,44.13,60.8,26,0,1.32,clear sky
30,Ashta,IN,23.02,76.72,63.54,29,0,4.09,clear sky
31,Vaini,TO,-21.2,-175.2,80.6,78,75,11.41,broken clouds
32,Barrow,US,71.29,-156.79,26.6,79,75,12.75,light snow
33,Laguna,US,38.42,-121.42,82.99,21,1,1.77,clear sky
34,Grand Gaube,MU,-20.01,57.66,69.01,73,16,3.0,few clouds
35,Saint George,US,37.1,-113.58,69.8,26,20,2.35,few clouds
36,Saint-Pierre,RE,-21.34,55.48,69.8,56,90,4.7,overcast clouds
37,Tiksi,RU,71.69,128.87,3.92,89,100,4.56,overcast clouds
38,Te Anau,NZ,-45.42,167.72,58.12,52,58,0.74,broken clouds
39,Margherita,IN,27.28,95.68,68.77,93,49,1.25,light rain
40,Castro,BR,-24.79,-50.01,58.89,68,21,7.38,few clouds
41,Dikson,RU,73.51,80.55,17.15,96,100,9.78,overcast clouds
42,Bourail,NC,-21.57,165.48,82.38,53,100,1.7,overcast clouds
43,Bredasdorp,ZA,-34.53,20.04,66.2,82,35,12.75,scattered clouds
44,Qaanaaq,GL,77.48,-69.36,6.76,79,100,5.21,overcast clouds
45,Nefteyugansk,RU,61.1,72.6,24.8,100,75,6.71,broken clouds
46,Domoni,KM,-12.26,44.53,75.29,81,17,6.44,few clouds
47,Karratha,AU,-20.74,116.85,67.01,49,0,8.79,clear sky
48,Busselton,AU,-33.65,115.33,55.99,85,15,8.79,few clouds
49,Morondava,MG,-20.28,44.28,74.93,80,1,4.32,clear sky
50,Kyra,RU,49.58,111.98,11.53,83,0,3.53,clear sky
51,Jamestown,US,42.1,-79.24,37.0,69,90,13.87,overcast clouds
52,Sorong,ID,-0.88,131.25,78.85,83,100,4.18,light rain
53,Cockburn Town,TC,21.46,-71.14,82.4,69,20,6.93,few clouds
54,Altay,CN,47.87,88.12,30.25,82,59,2.55,broken clouds
55,Hay River,CA,60.82,-115.8,19.4,79,100,8.05,snow
56,Whitecourt,CA,54.15,-115.69,55.4,43,75,5.82,broken clouds
57,Saskylakh,RU,71.92,114.08,6.44,94,98,6.33,overcast clouds
58,Samoded,RU,63.61,40.51,36.37,88,84,11.65,broken clouds
59,Washington,US,47.5,-120.5,55.99,57,1,2.73,clear sky
60,Swan River,CA,52.11,-101.27,57.2,44,29,5.82,scattered clouds
61,Mezen,RU,65.85,44.24,32.27,94,17,12.35,few clouds
