City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,77.41,light rain,-9.8,-139.03,Villa Enata
11,Hilo,US,87.8,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
14,Vung Tau,VN,78.8,broken clouds,10.35,107.08,Seaside Resort
22,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
23,Hithadhoo,MV,82.87,very heavy rain,-0.6,73.08,Scoop Guest House
24,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
27,Vao,NC,75.09,light rain,-22.67,167.48,Hotel Kou-Bugny
31,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Laguna,US,82.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
42,Bourail,NC,82.38,overcast clouds,-21.57,165.48,Nekweta
46,Domoni,KM,75.29,few clouds,-12.26,44.53,Loulou
52,Sorong,ID,78.85,light rain,-0.88,131.25,The Waigo Hotel
53,Cockburn Town,TC,82.4,few clouds,21.46,-71.14,Osprey Beach Hotel
63,Butaritari,KI,81.27,broken clouds,3.07,172.79,Isles Sunset Lodge
71,Santiago Del Estero,AR,85.19,clear sky,-27.8,-64.26,Hotel Urbano
74,Nanakuli,US,86.0,scattered clouds,21.39,-158.15,Camp Pālehua
75,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
79,Santa Isabel Do Rio Negro,BR,83.98,scattered clouds,-0.41,-65.02,Hotel GSA
83,Mana,GF,78.31,light rain,5.66,-53.78,LE SAMANA
90,Kapaa,US,81.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
95,Sociedad,SV,87.8,broken clouds,13.7,-88.02,
105,Guerrero Negro,MX,77.77,light rain,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
115,Kavaratti,IN,81.93,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
117,Jilib,SO,75.9,overcast clouds,0.49,42.79,
120,Lorengau,PG,84.45,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
123,Manaure,CO,83.44,light rain,11.78,-72.44,Del mar vendra
124,Barra Do Garcas,BR,81.46,broken clouds,-15.89,-52.26,Hotel Pousada Tropical
125,Santa Rosa,PH,78.8,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
126,Mareeba,AU,84.99,few clouds,-17.0,145.43,Trinity Plains Tourist Park
130,Chivacoa,VE,86.0,light rain,10.16,-68.89,Hotel Fache C.A
134,Thinadhoo,MV,82.58,moderate rain,0.53,72.93,
141,Labuhan,ID,78.33,overcast clouds,-6.88,112.21,bador sepret
142,Garissa,KE,78.21,broken clouds,-0.45,39.64,Sharif Plaza Hotel
145,Mount Isa,AU,84.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
146,Wagar,SD,80.67,scattered clouds,16.15,36.2,
149,Namatanai,PG,84.42,clear sky,-3.67,152.43,Namatanai Hotel
155,Amahai,ID,82.99,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
160,Muriti,TZ,75.2,broken clouds,-1.98,32.92,
164,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
172,Alepe,CI,78.8,scattered clouds,5.5,-3.66,BENENE 1
175,Matara,LK,76.51,overcast clouds,5.95,80.54,Amaloh Boutique Resort
180,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
186,Sola,VU,77.0,heavy intensity rain,-13.88,167.55,Ulkel Guest House
189,Sao Jose Da Coroa Grande,BR,78.04,clear sky,-8.9,-35.15,Crôa Mares Hotel
192,Castelo Do Piaui,BR,75.09,heavy intensity rain,-5.32,-41.55,Nobre Hotel
194,Jaumave,MX,80.6,scattered clouds,23.42,-99.38,HOTEL CIENEGA
200,Kulhudhuffushi,MV,82.4,clear sky,6.62,73.07,Haajy Guest House 1
201,Mecca,SA,78.15,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
202,Yulara,AU,75.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
203,Half Moon Bay,US,80.01,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
205,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
206,Guhagar,IN,76.35,clear sky,17.48,73.19,Hotel Seawinds
207,San Patricio,US,75.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
219,Coari,BR,83.8,few clouds,-4.08,-63.14,HOTEL ALEX FLAT
220,Puerto Quijarro,BO,86.43,broken clouds,-17.78,-57.77,Hotel palance
223,Kavieng,PG,84.42,clear sky,-2.57,150.8,Nusa Island Retreat
231,Viedma,AR,82.0,clear sky,-40.81,-63.0,Hotel Cristal
233,Inirida,CO,78.17,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
234,Mitu,CO,77.94,light rain,1.2,-70.17,
237,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
238,Sao Filipe,CV,80.83,broken clouds,14.9,-24.5,Tortuga B&B
239,Padang,ID,77.79,light rain,-0.95,100.35,Mercure Padang
240,Sarangani,PH,83.21,overcast clouds,5.4,125.46,Ballistic Islet
241,Buala,SB,81.36,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
250,Benguela,AO,78.94,light rain,-12.58,13.41,Hotel Praia Morena
253,San Pedro,PH,78.8,few clouds,14.35,121.02,OYO 412 Viewfort Venue
254,Prainha,BR,87.03,light rain,-1.8,-53.48,Hotel Brasília
260,Port Augusta,AU,77.0,few clouds,-32.5,137.77,Majestic Oasis Apartments
269,The Valley,AI,84.2,haze,18.22,-63.06,CeBlue Villas & Beach Resort
274,Bonthe,SL,79.09,scattered clouds,7.53,-12.51,Bonthe Holiday Village
275,Chateaubelair,VC,80.6,scattered clouds,13.28,-61.25,Richmond Vale Diving & Hiking Center
279,Mogadishu,SO,79.11,light rain,2.04,45.34,Hotel Juba
281,Tomatlan,MX,88.93,clear sky,19.93,-105.25,Norma franco
286,Honiara,SB,77.0,light intensity drizzle,-9.43,159.95,Heritage Park Hotel
290,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
303,Aloleng,PH,78.49,overcast clouds,16.13,119.78,Agno Umbrella Rocks
307,Faanui,PF,79.83,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
315,Rio Cuarto,AR,82.4,clear sky,-33.13,-64.35,Hotel Menossi
319,Taoudenni,ML,80.06,overcast clouds,22.68,-3.98,
327,Say,NE,82.4,few clouds,13.1,2.37,
330,Sabang,ID,81.18,light rain,5.89,95.32,Hotel Citra
335,Iquitos,PE,89.6,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
341,Merauke,ID,82.38,moderate rain,-8.47,140.33,
344,Coxim,BR,83.62,scattered clouds,-18.51,-54.76,Hotel Avenida
345,Phan Thiet,VN,75.56,overcast clouds,10.93,108.1,Hotel Saigon-PT
346,Port Blair,IN,79.9,overcast clouds,11.67,92.75,Fortune Resort Bay Island
347,Charters Towers,AU,77.29,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
350,Santiago,CL,78.8,clear sky,-33.46,-70.65,Hotel Panamericano
351,Mayumba,GA,76.69,few clouds,-3.43,10.66,LIKWALE LODGE
353,Buba,GW,78.21,clear sky,11.58,-15.0,Pousada Bela Vista
356,Akyab,MM,78.6,overcast clouds,20.15,92.9,Hotel Memory
357,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Mystic Sands
362,Paciran,ID,78.73,overcast clouds,-6.88,112.38,Tanjung Kodok Beach Resort
377,Ugoofaaru,MV,82.49,light rain,5.67,73.0,Ungoofaaru Inn
380,Manadhoo,MV,82.17,light rain,5.77,73.38,Vevu Guesthouse
382,Isla Vista,US,86.0,fog,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
388,Mission Viejo,US,79.0,clear sky,33.6,-117.67,Laguna Hills Lodge
390,Cabo San Lucas,MX,88.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
391,Longmont,US,77.0,clear sky,40.17,-105.1,Best Western Plus Plaza Hotel
397,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
398,Takoradi,GH,78.42,overcast clouds,4.88,-1.76,Raybow International Hotel
400,San Carlos Del Zulia,VE,83.53,broken clouds,9.0,-71.91,CHS
404,Casambalangan,PH,77.86,light rain,18.38,122.13,Villa Saturnina
411,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
414,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
418,Puerto Leguizamo,CO,83.53,broken clouds,-0.19,-74.78,la casona de juancho
419,Bousse,BF,82.4,broken clouds,12.66,-1.89,Maison d'hôtes EBEN-EZER DE BOUSSE
420,Sungairaya,ID,78.39,overcast clouds,0.7,108.9,808 artel
421,Sumbe,AO,77.43,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
425,Noumea,NC,82.99,clear sky,-22.28,166.46,Hôtel Le Lagon
431,Manta,EC,78.8,scattered clouds,-0.95,-80.73,Balandra Hotel
433,Ati,TD,86.92,broken clouds,13.22,18.34,
436,Gorontalo,ID,75.29,light rain,0.54,123.06,Maqna Hotel by Prasanthi
443,Harper,LR,78.15,scattered clouds,4.38,-7.72,Screensaver
444,La Asuncion,VE,84.2,broken clouds,11.03,-63.86,Colinas de Matasiete
447,Boa Vista,BR,89.6,few clouds,2.82,-60.67,Aipana Plaza Hotel
453,Poso,ID,79.0,overcast clouds,-1.4,120.75,Hotel 77 Poso
454,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
455,Korampallam,IN,81.39,clear sky,8.77,78.1,Regency Tuticorin by GRT Hotels
456,Poum,NC,77.58,moderate rain,-20.23,164.02,Gîte kajeon
459,Piacabucu,BR,77.7,light rain,-10.41,-36.43,Piaçabuçu News
461,Barras,BR,81.82,moderate rain,-4.24,-42.29,DIMAS HOTEL
463,Banjar,ID,76.42,overcast clouds,-8.19,114.97,The Hamsa Resort
465,Nouadhibou,MR,75.2,few clouds,20.93,-17.03,El Medina
468,Ipixuna,BR,84.2,clear sky,-1.76,-48.8,Casa da Oscarina
469,Mahajanga,MG,77.0,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
474,Eyl,SO,80.13,few clouds,7.98,49.82,Amiin Hotel
483,Beira,MZ,77.0,few clouds,-19.84,34.84,Beira Terrace Hotel
488,Ocumare Del Tuy,VE,75.0,moderate rain,10.12,-66.78,Residencias Las Fuentes
491,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
492,Kukuna,SL,77.07,scattered clouds,9.4,-12.67,
493,Makakilo City,US,86.0,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
500,Adrar,MR,82.67,overcast clouds,20.5,-10.07,
509,Chake Chake,TZ,77.38,few clouds,-5.25,39.77,Hotel Archipelago
513,Victor Harbor,AU,81.0,scattered clouds,-35.57,138.62,Apollon Motor Inn
519,Salinopolis,BR,80.96,clear sky,-0.61,-47.36,Hotel Salinópolis
521,Port Lincoln,AU,75.45,overcast clouds,-34.73,135.87,Port Lincoln Hotel
523,Teahupoo,PF,87.8,scattered clouds,-17.83,-149.27,Vanira Lodge
527,Dire,ML,78.15,clear sky,12.28,-10.97,
531,Axim,GH,78.15,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
533,Pontes E Lacerda,BR,83.08,scattered clouds,-15.23,-59.34,Hotel Bressan
535,Rosarito,MX,75.2,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
548,Porto Murtinho,BR,79.3,broken clouds,-21.7,-57.88,Hotel Pantanal
551,Kirakira,SB,77.5,moderate rain,-10.45,161.92,SanBiz Lodge
560,Boyolangu,ID,75.43,scattered clouds,-8.12,111.89,Yos ega cv
562,General Roca,AR,87.8,overcast clouds,-39.03,-67.58,Hotel El Recreo
566,Pacific Grove,US,77.0,clear sky,36.62,-121.92,Lovers Point Inn
567,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
568,Bara,NG,79.0,broken clouds,10.37,10.73,
569,Pedro Betancourt,CU,78.8,broken clouds,22.73,-81.29,
571,Araouane,ML,84.51,overcast clouds,18.9,-3.53,
575,Riobamba,EC,75.2,shower rain,-1.67,-78.63,Mansion Santa Isabella
577,Katherine,AU,80.6,overcast clouds,-14.47,132.27,Pine Tree Motel
580,Caraballeda,VE,75.0,light rain,10.61,-66.85,Hotel 15 Letras
586,Doka,SD,80.98,scattered clouds,13.52,35.77,
589,Canutama,BR,85.01,overcast clouds,-6.53,-64.38,Hotel Jhennifer
594,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
596,Umm Kaddadah,SD,81.54,clear sky,13.6,26.69,
601,Luwuk,ID,77.9,moderate rain,-0.95,122.79,Hotel Santika Luwuk
605,Gamba,GA,75.09,few clouds,-2.65,10.0,
610,Kupang,ID,80.11,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
611,Afua,BR,83.53,broken clouds,-0.16,-50.39,Hotel Dias
612,Acarau,BR,80.67,clear sky,-2.89,-40.12,castelo pizzaria
614,Kununurra,AU,77.0,scattered clouds,-15.77,128.73,Hotel Kununurra
615,Mongo,TD,86.52,overcast clouds,12.18,18.69,
617,Nabire,ID,77.63,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
618,Pemangkat,ID,77.36,light rain,1.17,108.97,Kost H.Syamsuddin
619,Mangrol,IN,78.39,clear sky,21.12,70.12,Hotel The Royal Honours
624,Manzanillo,CU,81.48,overcast clouds,20.34,-77.12,Adrian & Tonia
630,Tautira,PF,87.8,scattered clouds,-17.73,-149.15,Pension Oaoa
638,Atar,MR,83.21,overcast clouds,20.52,-13.05,Oumou Elghoura
639,Gao,ML,78.28,clear sky,16.64,1.64,
640,Villa Maria,AR,75.99,clear sky,-32.41,-63.24,Hotel Milenium
641,Curumani,CO,81.9,light rain,9.2,-73.54,Hotel Mayumir
642,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
644,Hambantota,LK,77.0,overcast clouds,6.12,81.12,Bungalow 63
654,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Aracati Hotel
655,Kontagora,NG,77.14,overcast clouds,10.4,5.47,City Gate Inn
657,Carutapera,BR,79.65,light rain,-1.2,-46.02,Lidera
659,Tual,ID,83.14,light rain,-5.67,132.75,Grand Vilia Hotel
663,Kolokani,ML,79.84,broken clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
664,Vila Do Maio,CV,80.6,clear sky,15.13,-23.22,Residence 'I Delfini'
665,Kathu,TH,84.99,few clouds,7.92,98.33,Novotel Phuket Resort
670,Ziniare,BF,82.4,broken clouds,12.58,-1.3,Privilège Hôtel de Ziniaré
673,Camacari,BR,75.2,moderate rain,-12.7,-38.32,Sítio Blasi
681,Samarai,PG,83.01,light rain,-10.62,150.67,Nuli Sapi
684,Acajutla,SV,80.6,few clouds,13.59,-89.83,Stop.
688,Ukiah,US,87.01,clear sky,39.15,-123.21,Hampton Inn Ukiah
690,Touros,BR,80.6,few clouds,-5.2,-35.46,INN NEW HORIZON
