City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2020-11-02 18:50:23,-16.48,-151.75,79.38,78,0,16.46
1,Souillac,MU,2020-11-02 18:50:23,-20.52,57.52,71.6,68,75,11.41
2,Ixtapa,MX,2020-11-02 18:50:23,20.7,-105.2,88.0,58,5,5.82
3,Luanda,AO,2020-11-02 18:50:23,-8.84,13.23,78.8,83,20,8.05
4,Fort Nelson,CA,2020-11-02 18:49:08,58.81,-122.7,8.6,84,90,4.7
5,Cape Town,ZA,2020-11-02 18:48:30,-33.93,18.42,71.01,82,0,12.75
6,Victoria,HK,2020-11-02 18:49:13,22.29,114.16,73.0,70,72,1.01
7,Hobart,AU,2020-11-02 18:46:04,-42.88,147.33,62.01,63,90,10.29
8,Mecca,SA,2020-11-02 18:50:23,21.43,39.83,80.31,67,0,5.53
9,Rikitea,PF,2020-11-02 18:50:24,-23.12,-134.97,72.25,81,9,20.24
10,Hermanus,ZA,2020-11-02 18:50:24,-34.42,19.23,64.99,82,1,7.0
11,Bagn,NO,2020-11-02 18:50:24,60.82,9.55,45.0,83,38,5.99
12,Tigil,RU,2020-11-02 18:50:24,57.8,158.67,30.78,91,100,6.35
13,Dikson,RU,2020-11-02 18:50:24,73.51,80.55,16.72,97,100,9.04
14,Ostrovnoy,RU,2020-11-02 18:50:24,68.05,39.51,35.58,82,97,30.04
15,Bluff,NZ,2020-11-02 18:50:25,-46.6,168.33,45.0,94,17,4.05
16,Busselton,AU,2020-11-02 18:50:25,-33.65,115.33,55.99,84,66,10.69
17,Constitucion,CL,2020-11-02 18:50:03,-35.33,-72.42,60.98,70,75,11.86
18,Flinders,AU,2020-11-02 18:50:25,-34.58,150.86,52.0,88,11,1.01
19,Jamestown,US,2020-11-02 18:46:31,42.1,-79.24,36.0,90,90,13.87
20,Atuona,PF,2020-11-02 18:50:25,-9.8,-139.03,77.52,76,19,20.04
21,Grand Island,US,2020-11-02 18:46:14,40.92,-98.34,68.0,25,1,6.51
22,Longyearbyen,SJ,2020-11-02 18:47:43,78.22,15.64,33.8,74,75,40.26
23,Shurugwi,ZW,2020-11-02 18:50:25,-19.67,30.01,66.29,61,100,2.44
24,Nome,US,2020-11-02 18:47:38,64.5,-165.41,6.8,84,1,4.85
25,Clyde River,CA,2020-11-02 18:49:52,70.47,-68.59,10.4,85,75,16.11
26,Margate,GB,2020-11-02 18:48:47,51.38,1.39,51.01,68,0,1.99
27,Raga,SS,2020-11-02 18:50:26,8.46,25.68,75.16,74,35,3.56
28,Saskylakh,RU,2020-11-02 18:47:21,71.92,114.08,6.08,93,97,7.72
29,Lebu,CL,2020-11-02 18:48:08,-37.62,-73.65,56.61,78,25,13.31
30,Coihaique,CL,2020-11-02 18:50:26,-45.58,-72.07,64.4,52,0,9.17
31,San Jose,US,2020-11-02 18:49:25,37.34,-121.89,73.0,52,90,2.17
32,Albany,US,2020-11-02 18:46:43,42.6,-73.97,37.0,62,0,1.99
33,Avera,US,2020-11-02 18:50:26,33.19,-82.53,61.0,22,1,6.93
34,Tuktoyaktuk,CA,2020-11-02 18:48:48,69.45,-133.04,6.8,71,90,12.75
35,Hilo,US,2020-11-02 18:50:27,19.73,-155.09,79.0,69,20,4.7
36,Port Elizabeth,ZA,2020-11-02 18:50:27,-33.92,25.57,66.2,82,20,19.46
37,Vizinga,RU,2020-11-02 18:50:27,61.07,50.1,26.49,96,59,4.36
38,Sorland,NO,2020-11-02 18:50:27,67.67,12.69,46.4,93,75,6.93
39,Kodiak,US,2020-11-02 18:50:27,57.79,-152.41,24.8,53,1,12.75
40,Castro,BR,2020-11-02 18:50:27,-24.79,-50.01,69.78,42,5,4.74
41,Mataura,NZ,2020-11-02 18:50:28,-46.19,168.86,45.0,94,100,1.03
42,Malakal,SS,2020-11-02 18:50:28,9.53,31.66,79.38,70,71,4.63
43,Tuatapere,NZ,2020-11-02 18:50:25,-46.13,167.68,45.0,94,88,1.61
44,Ushuaia,AR,2020-11-02 18:50:28,-54.8,-68.3,59.0,58,20,4.7
45,Agutaya,PH,2020-11-02 18:50:28,11.15,120.94,83.25,78,100,16.6
46,Cartersville,US,2020-11-02 18:50:28,34.17,-84.8,57.0,27,1,6.93
47,Yining,CN,2020-11-02 18:50:28,29.04,114.56,53.71,76,5,2.04
48,Hay River,CA,2020-11-02 18:50:29,60.82,-115.8,19.4,73,100,8.05
49,Punta Arenas,CL,2020-11-02 18:50:29,-53.15,-70.92,60.8,44,0,6.93
50,Kapaa,US,2020-11-02 18:45:54,22.08,-159.32,73.4,94,75,9.08
51,Chokurdakh,RU,2020-11-02 18:50:29,70.63,147.92,-8.93,89,99,9.71
52,Conde,BR,2020-11-02 18:50:12,-7.26,-34.91,84.2,70,75,11.41
53,Bukachacha,RU,2020-11-02 18:50:29,52.98,116.92,8.15,85,0,3.71
54,Visnes,NO,2020-11-02 18:50:30,59.36,5.22,50.0,81,40,16.11
55,Yumen,CN,2020-11-02 18:50:30,40.28,97.2,34.93,70,0,7.78
56,Mount Pleasant,US,2020-11-02 18:49:57,32.79,-79.86,57.99,26,1,11.41
57,Krasnoselkup,RU,2020-11-02 18:50:30,65.7,82.47,17.17,97,90,12.77
58,Lethem,GY,2020-11-02 18:50:30,3.38,-59.8,95.0,53,40,11.41
59,Butaritari,KI,2020-11-02 18:50:30,3.07,172.79,81.05,75,68,17.94
60,Bonthe,SL,2020-11-02 18:50:31,7.53,-12.51,80.46,76,37,4.83
61,Lavumisa,SZ,2020-11-02 18:50:31,-27.31,31.89,68.72,88,100,3.06
62,Portland,US,2020-11-02 18:48:08,45.52,-122.68,60.01,58,20,3.36
63,Sibolga,ID,2020-11-02 18:50:31,1.74,98.78,76.93,79,79,3.18
64,Bredasdorp,ZA,2020-11-02 18:50:31,-34.53,20.04,64.4,88,0,13.87
65,Puerto Ayora,EC,2020-11-02 18:47:36,-0.74,-90.35,75.2,73,75,5.82
66,Ojhar,IN,2020-11-02 18:50:31,20.1,73.93,71.2,54,55,3.49
67,Shushtar,IR,2020-11-02 18:50:31,32.05,48.86,66.2,31,0,3.49
68,Zhanaozen,KZ,2020-11-02 18:50:32,43.3,52.8,57.63,35,100,6.69
