City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,2020-11-02 19:13:45,-0.6,73.08,83.3,73,96,10.78
1,Saint-Philippe,RE,2020-11-02 19:13:45,-21.36,55.77,73.4,53,90,8.05
2,Hermanus,ZA,2020-11-02 19:13:45,-34.42,19.23,64.99,82,1,8.99
3,Grand Gaube,MU,2020-11-02 19:13:45,-20.01,57.66,69.01,69,1,3.0
4,Barrow,US,2020-11-02 19:13:45,71.29,-156.79,28.4,74,90,16.11
5,Kapaa,US,2020-11-02 19:12:55,22.08,-159.32,75.0,94,75,9.08
6,Atuona,PF,2020-11-02 19:13:45,-9.8,-139.03,77.52,76,19,20.04
7,Rikitea,PF,2020-11-02 19:13:45,-23.12,-134.97,72.25,81,9,20.24
8,Albany,US,2020-11-02 19:10:06,42.6,-73.97,37.0,61,0,1.01
9,Deputatskiy,RU,2020-11-02 19:13:46,69.3,139.9,-14.73,82,0,3.31
10,Esperance,AU,2020-11-02 19:13:46,-33.87,121.9,57.2,93,75,17.22
11,Brigantine,US,2020-11-02 19:13:46,39.41,-74.36,46.99,33,1,31.09
12,Busselton,AU,2020-11-02 19:13:46,-33.65,115.33,55.99,84,66,10.69
13,Pangai,TO,2020-11-02 19:13:46,-19.8,-174.35,75.2,88,75,17.22
14,Hobart,AU,2020-11-02 19:13:08,-42.88,147.33,62.01,63,90,5.82
15,Lompoc,US,2020-11-02 19:13:46,34.64,-120.46,71.6,34,1,3.36
16,Cabo San Lucas,MX,2020-11-02 19:13:46,22.89,-109.91,89.01,58,5,7.92
17,Nikolskoye,RU,2020-11-02 19:13:46,59.7,30.79,41.0,86,90,11.18
18,Savannah Bight,HN,2020-11-02 19:13:46,16.45,-85.85,78.8,94,75,22.35
19,Tuktoyaktuk,CA,2020-11-02 19:13:46,69.45,-133.04,6.8,71,90,12.75
20,Sinnamary,GF,2020-11-02 19:13:47,5.38,-52.95,78.51,87,100,14.23
21,Clyde River,CA,2020-11-02 19:13:47,70.47,-68.59,10.4,85,75,16.11
22,Provideniya,RU,2020-11-02 19:08:53,64.38,-173.3,23.25,93,2,6.49
23,Valkeakoski,FI,2020-11-02 19:13:47,61.26,24.03,48.2,93,90,13.87
24,Los Llanos De Aridane,ES,2020-11-02 19:13:47,28.66,-17.92,73.4,73,0,11.41
25,Denpasar,ID,2020-11-02 19:13:47,-8.65,115.22,76.6,81,75,4.23
26,Jamestown,US,2020-11-02 19:13:47,42.1,-79.24,36.0,90,90,13.87
27,Bluff,NZ,2020-11-02 19:13:47,-46.6,168.33,46.0,93,17,4.05
28,Ushuaia,AR,2020-11-02 19:13:47,-54.8,-68.3,59.0,58,20,4.7
29,Saint-Augustin,CA,2020-11-02 19:13:47,51.23,-58.65,51.44,94,100,32.12
30,Kruisfontein,ZA,2020-11-02 19:13:48,-34.0,24.73,64.99,85,0,1.99
31,Cape Town,ZA,2020-11-02 19:10:00,-33.93,18.42,70.0,82,0,12.75
32,Chapadinha,BR,2020-11-02 19:13:48,-3.74,-43.36,87.6,58,64,3.8
33,Mladenovac,RS,2020-11-02 19:13:48,44.44,20.7,59.0,77,0,1.12
34,Ostrovnoy,RU,2020-11-02 19:13:48,68.05,39.51,35.58,82,97,30.04
